tag,engine,file,text,audio_s,proc_s,rtf
base,whisper,canteen_01.wav,这些期我们做的项目是语音识别的鲁邦性研究主要对比Whisper和FoundDSR两个模型在噪声和重叠语音下的表现预处理这边降噪打算用不减法和Deep Bass Tense语音分离用Most Form Pro价值标主要看自封率再加上说话人归属的准确率最后比较不同心脏比价哪一条处理链路效果最好代价最小感谢观看,30.06,9.69,0.322
base,whisper,classroom_01.wav,实验里我们发现噪声一大模型就开始把背景人声也转写出来甚至在静音段冒出幻觉本本所以我们先做了说话人归属测试看声纹特征在轻噪声下还稳不稳定再用热词表辅助大模型做语义纠错像Whisper Most Formed To这种英文名词不加热词表时有八九会不会转错这正是我们要对比的地方感谢观看,30.31,8.27,0.273
base,whisper,discussion_canteen_01.wav,你看这环境背景全是人声正好测蒲间法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把壁的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用自措无虑说话行回去去拿这条录音试一试顺便看说话人归属对不对感谢观看,30.06,10.47,0.348
base,whisper,discussion_canteen_heavy_01.wav,咱们用whisper转写前得先做语音分离吧没错混在一起它识别会乱掉说话人归属在重点语一下错误力最高声纹特征会相互污染,16.40,4.00,0.244
base,whisper,discussion_quiet_01.wav,我觉得实验先捧Whisper比较稳放ISR放到第二阶段再上行 那语音分离这块呢MOSFORMER2的环境装好了吗装好了就是短片段分离不太稳定可能要加一点上下文补齐那先用长片段把流程跑通短片段的问题记下来再说我担心的是信噪比太低的时候分离效果会会崩 对 我试过了残留很明显那要不要先降噪再分离先降噪可能把人声细节也消掉到时候声纹都对不上了说话人归属在评论造成有影响但是对试探论人声造成基本污染行 那就按降噪或分离先做一组对焦组直接转写不做处理好 自措物理我来统计热词标你来整理,35.26,14.82,0.420
base,whisper,dorm_clean_01.wav,这学期我们做的项目是语音识别的鲁邦性研究主要对比Whisper和FunASR两个模型在噪声和充电语音下的表现预处理这边将造打算用铺剪法和DeepFlatNet各做一组语音分离用MouseFormer2评价指标主要看字错误率和再加上说话人归属的准确率最后比较不同心造笔下哪一条处理链路效果最好代价最小评价指标主要看音效输出静音为MouseFormer2评价指标主要看音效输出静音为MouseFormer2评价指标主要看音效输出静音为MouseFormer2,29.29,54.19,1.850
base_vad,whisper,canteen_01.wav,这些期我们做的项目是语音识别的鲁邦性研究主要对比Whisper、道声和重叠语音下的表现再加上说话人归属的准确率最后比较不同心脏比价哪一条处理链路效果最好代价最小,30.06,6.76,0.225
base_vad,whisper,classroom_01.wav,实验里我们发现噪声一大模型就开始把背景人声也转写出来甚至在静音段冒出幻觉文本所以我们先做了说话人归属测试看声纹特征在轻噪声下还稳不稳定再用热词表辅助大模型做语义纠错像whisper most formed to这种英文名词不加热词表时有八九会不会讲错这正是我们要对比的地方,30.31,8.14,0.269
base_vad,whisper,discussion_canteen_01.wav,你看这环境背景全是人声正好测蒲间法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把壁的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用自措无虑说话行回去就拿这条录音试一试顺便看说话人归属对不对感谢观看,30.06,11.13,0.370
base_vad,whisper,discussion_canteen_heavy_01.wav,咱们用Whisper转写前得先做语音分离吧没错 混在一起它识别会乱掉说话人归属在重点语音下错误力最高声纹特征会相互污染,16.40,4.33,0.264
base_vad,whisper,discussion_quiet_01.wav,我觉得实验先跑VSPR比较稳放ISR放到第二阶段再上行 那云分离这块呢MOSFORMER2的环境装好了吗装好了就是短片段分离不太稳定可能要加一点上下文补齐那先用长片段把流程跑通短片段的问题记下来再说我担心的是信噪比太低的时候分离效果会会崩 对 我试过了残留很明显那要不要先降噪再分离先降噪可能把人声细节也消掉到时候声纹都对不上了说话人归属在评论造成有影响但是对试探中文特征会互相污染行 那就按降噪或分离先做一组对焦组直接转写不做处理好 自措物理我来统计热词标你来整理,35.26,15.13,0.429
base_vad,whisper,dorm_clean_01.wav,这学期我们做的项目是语音识别的鲁邦性研究主要对比Whisper和FunASR两个模型在噪声和充电语音下的表现预处理这边将造打算用铺剪法和DeepFlatNet各做一组语音分离用MouseFormer2评价指标主要看字错误率和再加上说话人归属的准确率最后比较不同心造笔下哪一条处理链路效果最好代价最小,29.29,8.76,0.299
base,funasr,canteen_01.wav,这学期我们做的项目是语音识别的鲁霸性研究，主要对比winisper和方ASR两个模型在噪声和重叠语音下的表现预处理。这边降噪打算用火箭法和deep VS一组语音分离离momos phone two评价指标主要看自控率，再加上说话人归属的准确率，最后比较不同。信道比较哪一条，处理链路效果最好，代价最小。,30.06,2.61,0.087
base,funasr,classroom_01.wav,实验里我们发现噪声一大模型就开始把背景人声也转写出来，甚至在静音段冒出幻觉文本。所以我们先做了说话人归属测试，看声纹特征，在轻噪声下还稳不稳定，再用热词表辅助大模型做语义纠错。像whisper mos found to这种英文名词，不加热词表，有十有八九会被转错，这正是我们我们要对比的地方。,30.31,0.93,0.031
base,funasr,discussion_canteen_01.wav,你看这环境背景诠释人声正好测谱减法的效果怎么样？我觉得不行，这种非平稳噪声得上deep field net.那处理顺序呢，先降噪还是先？我觉得应该先分离，不然降噪把b的声音当噪声消了也有道理。但是先分离的话，每一路里面还是带着食堂的背景音、信噪比，这样照样上不去。那就两种顺序各跑一遍用字错误率说话。行，回去就拿这条录音试一试，顺顺便看说话人归属，对不对？,30.06,0.91,0.030
base,funasr,discussion_canteen_heavy_01.wav,咱们用whisper转写前得先做语音分离吧。没错，混在一起，它识别会乱掉说话，染归属在中天雨下错误率最高声声文设置相相，相互污染。,16.40,0.57,0.035
base,funasr,discussion_quiet_01.wav,我觉得时间先跑v isp是比较稳，放，IDSR放在第二阶段段再上。那语音分离这块呢，mos former two的环境装好了吗？装好了，就是短片段分离不太稳定，可能要加一点上下文补齐。那先用长片段把流程跑通，短片段的问题记下来再说。我担心的是，性噪比太低的时候，分离效果会崩。对我事过了残留很明显。那要不要先降噪再分离，先降噪，可能把人声细节也消掉，到时候声纹都对不上了。说话法对平稳噪型有影响，但是对其他的问题生噪有不吸不染用行，那就按降噪后分离，先做一组对照组，直接转写，不做处理好字错误率，我来统计，热词表，你来整理。,35.26,1.14,0.032
base,funasr,dorm_clean_01.wav,这学期我们做的项目是语音识别的鲁棒性。研究，主要对比whisper和方ASR两个模型在噪声和重叠语音下的表现预处理。这边降噪打算用普减法和deep flatneate各做一组语音分离，用mouse former two评价指标主要看字错物力和再加上说话人归属的准确率。最后比较不同，心噪比下哪一条处理链路效果最好，代价最小。,29.29,0.86,0.029
specsub,whisper,canteen_01.wav,这些期我们做的项目是语音识别的乳霸性研究主要对比Whisper和WOW PSR两个模型在噪声和重点语音下的表现语音处理这边降噪可算用古典法和低谱语言语音分离用MOSFOR语压指标主要看指数再加上说话人归属的准确率最后比较不同心脏比较长一条处理间的动作效果最好代价最少请不吝点赞订阅订阅,30.06,4.70,0.156
specsub,whisper,classroom_01.wav,"实验里我们发现噪声比大模型就开始把背景人声也短写出来甚至在静音段冒出幻觉品等所以我们先做了说话人归属测试看声纹特征在轻噪声下还稳不稳定再用热词表谱做大模型做语义纠错像Whisper, Moscombe, True这种英文名词附加热词表时有八九会讲错这正是我们要对比的地方感谢观看",30.31,3.80,0.125
specsub,whisper,discussion_canteen_01.wav,你看这环境背景全是人声正好测不间法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把地的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪比照样上不去那就两种顺序各跑一遍用错误率说话行回去去拿这条录音试一试顺便看说话人归属对不对谢谢大家,30.06,4.56,0.152
specsub,whisper,discussion_canteen_heavy_01.wav,咱们用Whisper转写前得先做语音分离吧没错 混在一起它识别会乱掉说话人归属在情节语下错误力最高身份特质会相互污染,16.40,2.08,0.127
specsub,whisper,discussion_quiet_01.wav,"我觉得实验先跑威斯珀比较稳,放AZSR放到第二阶段再上行,那云分离这块呢,MOSFORMER2的环境装好呢?装好了就是短片段分离不太稳定,可能要加一点上下温补漆那先用长片段把流程跑从短片段的问题继下来再说我担心的是新造比太低的时候分离效果会崩对,我虚果的残留很明显那要不要先降噪再分离先降噪可能把人身细节也消掉,到时候声纹都对不上了说法人归属在平稳造成有效,但是对施打的温度和增噪数不像污染行,那就按降噪或分离先做一组,对焦图直接转型,做初衷好,自措物理我来统计,热资料你来整理",35.26,7.38,0.209
specsub,whisper,dorm_clean_01.wav,"这学期我们做的项目是语言识别的鲁邦性研究主要对比Whisper和方RAS2两个模型在噪声和充电语言下的表现预处理这边,降噪打算用副减法和Deep Flatness各做一组语言分离用MOS Format 2评价指标主要看字错误力和再加上说话人归属的准确率最后比较不同心脏笔下哪一条处理链效果最好,代价最小",29.29,3.80,0.130
frcrn,whisper,canteen_01.wav,这星期我们做的项目是语音识别的鲁莽性研究主要对比VSPR和QAM ASR两个国籍在造孙和重叠语音下的表现预处理这边降到打算用古典法和DeepLookBaseTest语音分离用MOSCORM价值标主要看自作无虑再加上动画人归属的准确率最后比较不同新造比价拿一条处理练度效果最好代价对手语音分离,30.06,4.51,0.150
frcrn,whisper,classroom_01.wav,实验里我们发现噪声一大模型就开始把背景人声也转写出来甚至在静音段冒出幻觉文本所以我们先做了说话人归属测试看声纹特征在轻噪声下还稳不稳定再用热词表辅助大模型做语义纠错像whisper most form to这种英文名词不加热词表时有八九会被转错这正是我们要对比的地方感谢观看,30.31,3.85,0.127
frcrn,whisper,discussion_canteen_01.wav,你看这环境背景全是人声正好测普检法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把壁的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用自措无虑说话行回去去拿这条录音试一试顺便看说话人归属对不对,30.06,4.59,0.153
frcrn,whisper,discussion_canteen_heavy_01.wav,咱们用whisper转写前得先做语音分离吧没错混在一起它识别会乱掉说话上归属在评论造成语言下错误即对食堂认为设置会相互污染,16.40,1.85,0.113
frcrn,whisper,discussion_quiet_01.wav,我觉得实验先捧威斯珀比较稳放ISR放到第二阶段再上行那语音分离这块呢MOSFORMER2的环境装好了吗装好了就是短片段分离不太稳定可能要加一点上下文补齐那先用长片段把流程跑通短片段的问题记下来再说我担心的是信噪比太低的时候分离效果会对我试过了残留很明显那要不要先降噪再分离先降噪可能把人声细节也消掉到时候声纹都对不上了说话法对评论噪声有效但是对试探的人声噪声基本不用行那就按降噪或分离先做一组对焦组直接转写不做处理好自措物理我来统计热词标你来整理,35.26,6.34,0.180
frcrn,whisper,dorm_clean_01.wav,"这学期我们做的项目是语音识别的鲁邦性研究主要对比Whisper和FunASR两个模型在噪声和充电语音下的表现预处理这边,降噪打算用铺剪法和DeepFlatNet各做一组语音分离用MouseFormer2评价指标主要看字错误率和再加上说话人归属的准确率最后比较不同心噪笔下哪一条处理链路效果最好,代价最小",29.29,3.49,0.119
L3_sep,whisper,discussion_canteen_01_spk1.wav,你看这环境背景全是人声正好测普检法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把壁的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音进道比照样上不去那就两种顺序各跑一遍用自测无虑说话行回去就拿这条录音试一试顺便看说话人归属对不对谢谢大家,30.06,5.37,0.179
L3_sep,whisper,discussion_canteen_01_spk2.wav,你看这环境背景全是人声账号测浮间法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把B的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用错误率说话行 回去就拿这条录音试一试顺便看说话人归属对不对好,30.06,6.72,0.223
L3_sep,whisper,discussion_canteen_heavy_01_spk1.wav,咱们用威士忽尔传写前可以先做语言分析吗没错混在一起它识别会乱掉说话人归属动物中心有一项错误力最高深纹色射混相互污染,16.40,2.24,0.136
L3_sep,whisper,discussion_canteen_heavy_01_spk2.wav,咱们用Whisker转写前得先做语音分离吧没错混在一起它识别会乱掉不检查对平稳造成影响但是对食堂这种人设置会相互污染,16.40,1.79,0.109
L3_sep,whisper,discussion_quiet_01_spk1.wav,我觉得这些东西有我突然间想要放到第二阶段会不会谢谢福建法对白人同杰有效但是对世上中文人生造成基本没用你先做一组直接转写我来,35.26,2.44,0.069
L3_sep,whisper,discussion_quiet_01_spk2.wav,"我觉得实验先捧Whisper比较稳,放ISR放到第二阶段再上行,那语音分离这块呢,MOSFORMER2的环境装好了吗?装好了,就是短片段分离不太稳定,可能要加一点上下文补期那先用长片段把流程跑通短片段的问题记下来再说我担心的是新造比太低的时候分离效果会对,我试过了,残留很明显那要不要先降噪,暂分离先降噪可能把人声细节也消掉,到时候声纹都对不上了好,自错误率我来统计,热词标你来整理",35.26,5.50,0.156
L4_dns_sep,whisper,discussion_canteen_01_spk1.wav,你看这环境背景全是人声正好测普检法的效果怎么样我觉得不行这种非平稳噪声得上deep filter net那处理顺序呢先降噪还是先分离我觉得应该先分离不然降噪把B的声音当噪声消了也有道理但是先分离的话每一路里面还是带着食堂的背景音信噪笔照样上不去那就两种顺序各跑一遍用自测无虑说话行回去去拿这条录音试一试顺便看说话人归属对不对,30.06,4.89,0.163
L4_dns_sep,whisper,discussion_canteen_01_spk2.wav,我们下期再见中文字幕志愿者 李宗盛,30.06,1.05,0.035
L4_dns_sep,whisper,discussion_canteen_heavy_01_spk1.wav,咱们用威斯佛尔转写弦得先做语音分离吧没错混在一起它识别会乱掉中文字幕志愿者 李宗盛,16.40,2.56,0.156
L4_dns_sep,whisper,discussion_canteen_heavy_01_spk2.wav,咱们用威斯佛尔转写前得先做语音分离吧没错混在一起他识别会乱掉规矩在中间语音下错误地对食堂认为设置会相互污染,16.40,1.75,0.106
L4_dns_sep,whisper,discussion_quiet_01_spk1.wav,有过突然间突然碰到第二阶段在学习你可能要讲一点上下文我相信我会有个像曾几说话在中间影响但是评论人生会有个基本利用你可能要讲一点说话在中间影响但是评论人生会有个基本利用但是评论人生会有个基本利用,35.26,3.34,0.095
L4_dns_sep,whisper,discussion_quiet_01_spk2.wav,"我觉得实验先捧Whisper比较稳,放ISR放到第二阶段再上行,那语音分离这块呢,MOSFORMER2的环境装好了吗?装好了,就是短片段分离不太稳定,可能要加一点上下文补期那先用长片段把流程跑通短片段的问题记下来再说我担心的是新造比太低的时候分离效果会对,我试过了,残留很明显那要不要先降噪再分离先降噪可能把人声细节也消掉,到时候声纹都对不上了好,自错误率我来统计,热词标你来整理",35.26,5.20,0.148
